sample_size,group,sample_index
100,1,34
100,1,50
100,1,57
100,1,64
100,2,21
100,2,62
100,2,64
100,2,65
100,3,10
100,3,12
100,3,15
100,3,34
100,3,40
100,3,53
100,4,13
100,4,15
100,4,38
100,4,42
100,4,50
100,4,60
100,4,69
100,5,3
100,5,4
100,5,32
100,5,39
100,5,53
100,5,54
100,5,56
100,5,60
100,5,69
100,6,0
100,6,7
100,6,10
100,6,12
100,6,13
100,6,15
100,6,24
100,6,35
100,6,50
100,6,65
100,7,44
100,7,60
100,7,62
100,8,3
100,8,33
100,8,64
100,9,1
100,9,31
100,9,35
100,9,36
100,9,42
100,9,63
100,10,14
100,10,31
100,10,36
100,10,38
100,10,54
100,10,62
200,1,2
200,1,32
200,1,33
200,2,10
200,3,6
200,3,17
200,3,18
200,3,26
200,3,31
200,4,6
200,4,7
200,4,29
200,5,19
200,5,20
200,6,7
200,6,12
200,6,31
200,6,32
200,8,30
200,8,32
200,9,21
200,10,2
200,10,31
400,1,6
400,1,16
400,4,3
