sample_size,group,%_LAM,%_MWS,%_PBS
100,1,33.3333333333,61.1111111111,5.55555555556
100,2,33.3333333333,61.1111111111,5.55555555556
100,3,41.6666666667,50.0,8.33333333333
100,4,36.1111111111,54.1666666667,9.72222222222
100,5,34.7222222222,52.7777777778,12.5
100,6,29.1666666667,56.9444444444,13.8888888889
100,7,30.5555555556,65.2777777778,4.16666666667
100,8,25.0,70.8333333333,4.16666666667
100,9,26.3888888889,65.2777777778,8.33333333333
100,10,41.6666666667,50.0,8.33333333333
200,1,22.2222222222,69.4444444444,8.33333333333
200,2,47.2222222222,50.0,2.77777777778
200,3,41.6666666667,44.4444444444,13.8888888889
200,4,30.5555555556,61.1111111111,8.33333333333
200,5,33.3333333333,61.1111111111,5.55555555556
200,6,36.1111111111,52.7777777778,11.1111111111
200,7,25.0,75.0,0.0
200,8,27.7777777778,66.6666666667,5.55555555556
200,9,22.2222222222,75.0,2.77777777778
200,10,30.5555555556,63.8888888889,5.55555555556
400,1,11.1111111111,77.7777777778,11.1111111111
400,2,27.7777777778,72.2222222222,0.0
400,3,44.4444444444,55.5555555556,0.0
400,4,16.6666666667,77.7777777778,5.55555555556
400,5,16.6666666667,83.3333333333,0.0
400,6,11.1111111111,88.8888888889,0.0
400,7,5.55555555556,94.4444444444,0.0
400,8,16.6666666667,83.3333333333,0.0
400,9,5.55555555556,94.4444444444,0.0
400,10,11.1111111111,88.8888888889,0.0
800,1,11.1111111111,88.8888888889,0.0
800,2,11.1111111111,88.8888888889,0.0
800,3,33.3333333333,66.6666666667,0.0
800,4,33.3333333333,66.6666666667,0.0
800,5,0.0,100.0,0.0
800,6,11.1111111111,88.8888888889,0.0
800,7,0.0,100.0,0.0
800,8,11.1111111111,88.8888888889,0.0
800,9,0.0,100.0,0.0
800,10,0.0,100.0,0.0
